epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0774,4.42823,41.8057,2.63684,0,0,0,0,1.91961,8.12275,1.4899,2e-05,2e-05,2e-05
2,73.605,3.57325,26.2629,2.17364,0,0,0,0,1.94671,10.5812,1.4715,5.8812e-05,5.8812e-05,5.8812e-05
3,113.356,2.92728,10.8,1.66591,0.00222,0.66667,0.00241,0.00072,1.89274,8.1712,1.54563,9.604e-05,9.604e-05,9.604e-05
4,151.575,2.26466,8.39289,1.35667,1,0.61434,0.66537,0.38305,1.97232,4.92091,1.55048,0.000131684,0.000131684,0.000131684
5,185.127,1.90888,5.07346,1.26729,0.94608,0.66667,0.72324,0.37294,1.78996,4.99945,1.41914,0.000165744,0.000165744,0.000165744
6,218.93,2.08163,3.81042,1.22979,0.91107,0.66667,0.775,0.49603,1.62936,4.69757,1.22257,0.00019822,0.00019822,0.00019822
7,251.864,1.96314,3.67797,1.09612,0.51958,0.66667,0.80643,0.451,1.39272,4.85154,1.16393,0.000229112,0.000229112,0.000229112
8,284.883,1.72334,3.00266,1.11982,0.68681,0.74723,0.9125,0.49795,1.27092,3.39808,1.142,0.00025842,0.00025842,0.00025842
9,316.402,1.63741,2.79633,1.11029,0.57437,1,0.863,0.49042,1.28088,3.71606,1.16402,0.000286144,0.000286144,0.000286144
10,349.76,2.07965,3.68616,1.27888,0.69504,1,0.9125,0.47156,1.18444,4.00801,1.10663,0.000312284,0.000312284,0.000312284
11,395.146,1.61434,1.99673,1.12496,0.85494,1,0.995,0.57714,1.07512,3.2257,1.0362,0.00033684,0.00033684,0.00033684
12,428.411,1.84322,2.35265,1.26734,0.81726,1,0.995,0.43246,1.3065,4.16073,1.02501,0.000359812,0.000359812,0.000359812
13,459.286,1.61943,2.32509,1.11757,0.71278,1,0.83,0.27136,1.7521,3.08731,1.10596,0.0003812,0.0003812,0.0003812
14,488.576,1.56654,2.30082,1.08935,1,0.91008,0.995,0.31505,1.87435,4.96681,1.24733,0.000401004,0.000401004,0.000401004
15,520.597,1.83771,2.12863,1.22223,0.72352,0.66667,0.83,0.37665,1.9988,5.09151,1.34493,0.000419224,0.000419224,0.000419224
16,550.762,1.76229,1.90873,1.06791,1,0.89651,0.995,0.52065,1.92378,4.9644,1.37024,0.00043586,0.00043586,0.00043586
17,582.674,1.53155,1.7497,1.04651,0.10296,1,0.13568,0.05899,1.89911,15.3257,1.34369,0.000450912,0.000450912,0.000450912
18,615.855,1.73862,1.5078,1.12639,0.0329,1,0.03354,0.01756,1.84436,30.4294,1.31825,0.00046438,0.00046438,0.00046438
